id,osmId,name,elevation,coordinates
view174,node/3666082326,Stieber Wasserfall - Cascata Stieber,,"[11.1663106, 46.8269673]"
view175,node/3666102672,Passerschlucht - Gola del Passirio,,"[11.1810629, 46.8260638]"
view176,node/3666108483,Passerschlucht - Gola del Passirio,,"[11.1781393, 46.8261143]"
view177,node/3666122186,Stuller Wasserfall - Cascate di Stulles,,"[11.1922552, 46.8237284]"
view178,node/3699573023,Sai Uëdli,,"[11.76482, 46.5547946]"
view179,node/3700242934,Piza dales Diesc,3026,"[11.9608891, 46.6223325]"
view180,node/3799977720,Schöne Aussicht,,"[11.1025693, 46.6371792]"
view181,node/3814575997,belvedere,,"[11.2703834, 46.0506386]"
view182,node/3829979463,Ellener Kreuz,,"[11.8170964, 46.7605477]"
view183,node/3890817307,la bancheta,,"[11.0900658, 45.986967]"
view184,node/3890819594,vista su cascata,,"[11.0878038, 45.9869923]"
view185,node/3901176783,Belvedere,,"[11.549529, 46.0557464]"
view186,node/3949857860,Stilfserjoch - Passo Stelvio,,"[10.4540246, 46.5289267]"
view187,node/3950389732,Großer Apostel - Grande Apostolo,1947,"[12.0921553, 46.6959686]"
view188,node/3978711783,,867,"[11.4634861, 46.0678436]"
view189,node/3979540056,,867,"[11.4619307, 46.0649992]"
view190,node/4040753180,Zoparina,,"[11.3873502, 46.0127452]"
view191,node/4095699611,Meran - Merano,,"[11.1233559, 46.6600304]"
view192,node/4130428210,Hörtenbergkreuz - Croce del Monte Tondo,,"[11.3716634, 46.5116283]"
view193,node/4185771334,Rammelstein - Montone,2483,"[12.0530824, 46.8345556]"
view194,node/4246462921,Belvedere di Villa Sant'Ignazio,,"[11.1335073, 46.0714135]"
view195,node/4305154837,Furner Oach,,"[11.475757, 46.473445]"
view196,node/4319495559,Osservatorio,,"[10.9638532, 45.8401229]"
view197,node/4326701138,Belvedere Alto,,"[11.2348059, 46.0884836]"
view198,node/4337171991,Geislerkino,,"[11.749064, 46.6213476]"
view199,node/4403430959,Dolomitenblick,,"[12.1782331, 46.8026159]"
view200,node/4403440430,Sunnenwentegge,,"[12.2368474, 46.811652]"
view201,node/4421788841,La lasta,,"[11.2411445, 46.0805868]"
view202,node/4443977065,Aussichtskanzel - Pulpito prospettico,,"[10.6819937, 46.4816804]"
view203,node/4443977066,Kelle in der Klamm,,"[10.6857651, 46.4838788]"
view204,node/4443977067,Panoramasichel - Falce Panoramica,,"[10.6841134, 46.4826444]"
view205,node/4564657370,Monte Calvo,,"[11.2607222, 46.1002372]"
view206,node/4582441703,Pagoda,,"[11.4630508, 46.2927689]"
view207,node/4594155558,Lucianella,,"[11.4692132, 46.2913676]"
view208,node/4625687575,Punto panoramico Croz Tont,,"[11.2624476, 46.10989]"
view209,node/4683228821,Corna Piana,,"[10.9758433, 45.7606574]"
view210,node/4693994316,Aia de Canon,2200,"[11.5864254, 46.1868681]"
view211,node/4705601357,Cros dei Mocheni,1780,"[11.287478, 46.1251331]"
view212,node/4726382589,Belvedere,,"[11.0832757, 46.1803591]"
view213,node/4765042465,piazzola elicottero,,"[11.132255, 45.9349351]"
view214,node/4781665802,Gran Pizat,1940,"[11.9331997, 46.6747363]"
view215,node/4870216074,Blick St. Leonhard,,"[11.2113737, 46.8246295]"
