Unnamed: 0,type,name_id,country,crag,sector,name,tall_recommend_sum,grade_mean,cluster,rating_tot,coordinates
33843,climb_rooute,33843,ita,arco,bassilandia,lirica gola,0,62.333333333333336,3,0.1624329203048803,"[46.0556853, 10.9599155]"
33844,climb_rooute,33844,ita,arco,bassilandia,machine a grimper,0,42.0,2,-0.084731350089289,"[46.0556853, 10.9599155]"
33845,climb_rooute,33845,ita,arco,bassilandia,madl wadl,0,59.0,2,0.0810841726477499,"[46.0556853, 10.9599155]"
33846,climb_rooute,33846,ita,arco,bassilandia,markos,0,51.0,2,0.1503857008461045,"[46.0556853, 10.9599155]"
33847,climb_rooute,33847,ita,arco,bassilandia,marzo,0,37.92857142857143,2,-0.0790934056098093,"[46.0556853, 10.9599155]"
33848,climb_rooute,33848,ita,arco,bassilandia,messico e nuvole,0,49.44444444444444,2,-0.0933958855052683,"[46.0556853, 10.9599155]"
33849,climb_rooute,33849,ita,arco,bassilandia,mohammed kaliffa,0,62.0,2,-0.0491123546944578,"[46.0556853, 10.9599155]"
33850,climb_rooute,33850,ita,arco,bassilandia,nebraska,0,42.1,2,0.0158324730724941,"[46.0556853, 10.9599155]"
33851,climb_rooute,33851,ita,arco,bassilandia,nix ist nicht,0,46.42105263157895,2,0.0570179234991724,"[46.0556853, 10.9599155]"
33852,climb_rooute,33852,ita,arco,bassilandia,novecento,-1,50.31578947368421,2,-0.0095612946125641,"[46.0556853, 10.9599155]"
33853,climb_rooute,33853,ita,arco,bassilandia,occaso,0,53.5,3,-0.0362273746668012,"[46.0556853, 10.9599155]"
33854,climb_rooute,33854,ita,arco,bassilandia,ophelia,0,53.0,1,-0.16490179498667,"[46.0556853, 10.9599155]"
33855,climb_rooute,33855,ita,arco,bassilandia,panta rei,0,43.66666666666666,0,-0.1654416924928216,"[46.0556853, 10.9599155]"
33856,climb_rooute,33856,ita,arco,bassilandia,polifemo,0,50.66666666666666,0,-0.1612678554696679,"[46.0556853, 10.9599155]"
33857,climb_rooute,33857,ita,arco,bassilandia,quelli chel,0,39.5,4,-0.0452114488928387,"[46.0556853, 10.9599155]"
33858,climb_rooute,33858,ita,arco,bassilandia,qui resting,0,58.833333333333336,2,0.0446498535854538,"[46.0556853, 10.9599155]"
33859,climb_rooute,33859,ita,arco,bassilandia,quo vadis,0,53.142857142857146,2,-0.0744402801719977,"[46.0556853, 10.9599155]"
33860,climb_rooute,33860,ita,arco,bassilandia,sapori di lagolo,0,46.0,1,-0.0040991222595708,"[46.0556853, 10.9599155]"
33861,climb_rooute,33861,ita,arco,bassilandia,su e giu,0,52.0,2,-0.0816317246354151,"[46.0556853, 10.9599155]"
33862,climb_rooute,33862,ita,arco,bassilandia,tassosauro,0,43.5,2,-0.0452114488928387,"[46.0556853, 10.9599155]"
33863,climb_rooute,33863,ita,arco,bassilandia,testarda,0,40.25,3,0.1972288869820835,"[46.0556853, 10.9599155]"
33864,climb_rooute,33864,ita,arco,bassilandia,tobia ra,0,46.0,2,-0.168731228512442,"[46.0556853, 10.9599155]"
33865,climb_rooute,33865,ita,arco,bassilandia,trutta bianca blu,-1,54.38709677419355,0,-0.0901833344083625,"[46.0556853, 10.9599155]"
33866,climb_rooute,33866,ita,arco,bassilandia,uomo di carta,0,50.333333333333336,3,0.1983272813723057,"[46.0556853, 10.9599155]"
33867,climb_rooute,33867,ita,arco,bassilandia,will coyote,0,46.66666666666666,2,-0.054792061329622,"[46.0556853, 10.9599155]"
33868,climb_rooute,33868,ita,arco,bassilandia,x pile,0,53.142857142857146,2,0.0035268708966157,"[46.0556853, 10.9599155]"
33869,climb_rooute,33869,ita,arco,belvedere,alegher,0,29.0,2,-0.0734745342424936,"[46.0458668, 11.105379]"
33870,climb_rooute,33870,ita,arco,belvedere,ape poker,0,51.0,2,-0.0234298514137851,"[46.0458668, 11.105379]"
33871,climb_rooute,33871,ita,arco,belvedere,apotecher,0,51.0,1,-0.0452114488928387,"[46.0458668, 11.105379]"
33872,climb_rooute,33872,ita,arco,belvedere,baieti de baieti,0,46.0,2,-0.0734745342424936,"[46.0458668, 11.105379]"
33873,climb_rooute,33873,ita,arco,belvedere,balinot,1,35.875,1,0.0146337241540769,"[46.0458668, 11.105379]"
33874,climb_rooute,33874,ita,arco,belvedere,bastiamola li,1,49.0,2,-0.1007407814818926,"[46.0458668, 11.105379]"
33875,climb_rooute,33875,ita,arco,belvedere,bebe,0,51.85714285714285,4,0.4533284562465917,"[46.0458668, 11.105379]"
33876,climb_rooute,33876,ita,arco,belvedere,bring da noize,1,58.5,7,-0.16490179498667,"[46.0458668, 11.105379]"
33877,climb_rooute,33877,ita,arco,belvedere,caffe espresso,-4,40.6551724137931,3,-0.024414660967472,"[46.0458668, 11.105379]"
33878,climb_rooute,33878,ita,arco,belvedere,campi elisi,0,31.0,2,-0.0734745342424936,"[46.0458668, 11.105379]"
33879,climb_rooute,33879,ita,arco,belvedere,cave cannam,-6,54.57407407407408,0,-0.0598285283524375,"[46.0458668, 11.105379]"
33880,climb_rooute,33880,ita,arco,belvedere,diculescu,0,40.66666666666666,2,-0.0734745342424936,"[46.0458668, 11.105379]"
33881,climb_rooute,33881,ita,arco,belvedere,dog fish,0,37.2,2,-0.0029903442258965,"[46.0458668, 11.105379]"
33882,climb_rooute,33882,ita,arco,belvedere,equilibrio,0,33.0,2,-0.0734745342424936,"[46.0458668, 11.105379]"
33883,climb_rooute,33883,ita,arco,belvedere,fessa,0,29.0,2,-0.0734745342424936,"[46.0458668, 11.105379]"
